frequency_hz,frequency_mhz,depth_m,depth_mm,path_loss_db,snr_db,tissue_model
336734693.877551,336.734693877551,0.02,20.0,-5.547348713158747,113.31261751766037,skin+fat+muscle+bone
395918367.3469388,395.9183673469388,0.02,20.0,-4.077370023972945,111.77403710639611,skin+fat+muscle+bone
455102040.8163265,455.1020408163265,0.02,20.0,-2.80501844541521,110.44390048605781,skin+fat+muscle+bone
514285714.28571427,514.2857142857142,0.02,20.0,-1.6795990783228625,109.27983010894731,skin+fat+muscle+bone
573469387.755102,573.469387755102,0.02,20.0,-0.6720779960993548,108.23570443154506,skin+fat+muscle+bone
632653061.2244898,632.6530612244898,0.02,20.0,0.24105563783660355,107.28740217488756,skin+fat+muscle+bone
691836734.6938776,691.8367346938776,0.02,20.0,1.07692637246763,106.41740687423801,skin+fat+muscle+bone
751020408.1632653,751.0204081632653,0.02,20.0,1.8483940676068433,105.6125986330106,skin+fat+muscle+bone
810204081.632653,810.204081632653,0.02,20.0,2.5653623188785057,104.86289649119502,skin+fat+muscle+bone
869387755.1020408,869.3877551020407,0.02,20.0,3.2356209149625155,104.16038689240455,skin+fat+muscle+bone
928571428.5714285,928.5714285714286,0.02,20.0,3.87105083796511,103.48629491267661,skin+fat+muscle+bone
987755102.0408163,987.7551020408163,0.02,20.0,4.490038087790747,102.80590214519759,skin+fat+muscle+bone
1046938775.5102041,1046.938775510204,0.02,20.0,5.077773099639239,102.15673949462908,skin+fat+muscle+bone
